4.7,5.6,8.8,13.0,18.0,21.0,23.2,23.5,20.4,16.2,11.2,7.0,14.2
4.9,5.5,8.2,12.3,17.0,20.3,22.6,22.7,19.2,15.1,10.5,6.7,13.8
2.6,3.1,5.8,10.8,16.0,18.7,21.0,21.6,18.3,14.1,9.2,4.9,12.2
-4.1,-2.6,1.9,7.4,12.4,15.6,18.5,18.5,14.4,9.4,3.7,-1.6,7.8
-6.2,-5.5,-2.4,3.2,8.5,11.6,14.4,14.6,10.8,6.0,0.9,-3.4,4.4
