0,0,3,7,12,15,19,19,15,10,5,2,9
-1,0,2,6,10,14,18,18,13,8,3,0,8
-3,-3,0,5,10,15,17,17,12,8,3,-1,7
-10,-10,-5,2,7,11,14,13,9,3,-2,-7,2
-18,-17,-13,-5,2,5,9,8,4,-1,-8,-15,-4
