-17,-15,-10,-2,2,8,11,11,5,-2,-10,-15,-17
-19,-15,-12,-4,1,7,10,9,4,-4,-12,-16,-19
-27,-23,-16,-9,-1,4,9,7,2,-6,-14,-24,-27
-30,-29,-20,-14,-4,2,3,3,-4,-10,-19,-25,-30
-36,-30,-28,-22,-9,-3,-2,-3,-10,-15,-22,-30,-36
